BASE,Authors,Title,Year,DOI,Link
SCOPUS,"Livson M., Eshtokin S., Vasyukov V., Yudina E., Baybarin A., Pivneva S.",IMPACT OF DIGITALIZATION ON LEGAL REGULATION: FORMATION OF NEW LEGAL PRACTICES [IMPACTO DA DIGITALIZAÇÃO NA REGULAÇÃO JURÍDICA: FORMAÇÃO DE NOVAS PRÁTICAS JURÍDICAS],2021,10.37497/REVCAMPOJUR.V9I2.749,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125708229&doi=10.37497%2fREVCAMPOJUR.V9I2.749&partnerID=40&md5=65a1a9c5769781c6c63a18a82560de73
ACADEMIC,"WALZ, AXEL; FIRTH-BUTTERFIELD, KAY","IMPLEMENTING ETHICS INTO ARTIFICIAL INTELLIGENCE: A CONTRIBUTION, FROM A LEGAL PERSPECTIVE, TO THE DEVELOPMENT OF AN AI GOVERNANCE REGIME.",Dec2019,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=141372963&lang=pt-br&site=ehost-live"
ACADEMIC,"Kocaman, Sultan; Ozdemir, Nadire",Improvement of Disability Rights via Geographic Information Science.,jul.2020,10.3390/su12145807,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=fsr&AN=144875861&lang=pt-br&site=ehost-live"
SCOPUS,Hernández Giménez M.,Intelligence and criminal law [Inteligencia artificial y derecho penal],2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069678431&partnerID=40&md5=49f1b8d12dc69b42063ccbdc126066d9
SCOPUS,Pfeifer-Chomiczewska K.,Intelligent service robots for elderly or disabled people and human dignity: legal point of view,2022,10.1007/s00146-022-01477-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130190875&doi=10.1007%2fs00146-022-01477-0&partnerID=40&md5=fc1d8b5193587a726c8f613faca5340e
SCOPUS,Iaconesi S.,Interface and Data Biopolitics in the Age of Hyperconnectivity. Implications for Design,2017,10.1080/14606925.2017.1352896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054513406&doi=10.1080%2f14606925.2017.1352896&partnerID=40&md5=6da18796144a815e5c6bd04fc9c0cd84
SCOPUS,"Bello y Villarino J.-M., Vijeyarasa R.","International Human Rights, Artificial Intelligence, and the Challenge for the Pondering State: Time to Regulate?",2022,10.1080/18918131.2022.2069919,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130382358&doi=10.1080%2f18918131.2022.2069919&partnerID=40&md5=3a8c54069e3136564dc03d79a1237fbf
SCOPUS,Akimoto D.,International regulation of “lethal autonomous weapons systems” (LAWS): Paradigms of policy debate in Japan,2019,10.18588/201911.00a079,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077397424&doi=10.18588%2f201911.00a079&partnerID=40&md5=db6704b3812102f3565ced48a63cc229
ACADEMIC,Altavilla A,"Introduction: Special Issue on Innovative Medicine and Research: Ethical, Legal and Regulatory Issues.",2020 jun. 15,10.1163/15718093-BJA10019,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=mdc&AN=32697739&lang=pt-br&site=ehost-live"
ACADEMIC,Hunkenschroer AL; Kriebitz A,Is AI recruiting (un)ethical? A human rights perspective on the use of AI for hiring.,2022 jul. 25,10.1007/s43681-022-00166-4,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=mdc&AN=35909984&lang=pt-br&site=ehost-live"
